area_name,year,quarter,time_period,rent_growth,population_growth,housing_completions,rent_level,ppi_dublin_all,ppi_nat_ex_dublin_all,ppi_national_all,mortgage_loan_book_n,arrears_90d_n,arrears_720d_n,arrears_90d_rate,arrears_720d_rate
Longford,2024,4,2024Q4,16.09347492,2.2172949,443.7424554,1010.72,38.041666666666664,41.075,41.166666666666664,245.0,40.0,25.0,,
Longford,2025,1,2025Q1,17.3011689,0.650759219,376.035339,1010.72,37.0,41.025,40.666666666666664,245.0,40.0,25.0,,
Longford,2025,2,2025Q2,16.07927697,0.650759219,516.5822984,1010.72,37.61666666666667,41.725,41.34166666666667,245.0,40.0,25.0,,
Longford,2025,3,2025Q3,12.20035426,0.650759219,515.2640571,1010.72,38.31666666666667,43.416666666666664,42.625,245.0,40.0,25.0,,
Louth,2018,1,2018Q1,14.09834073,1.06870229,1149.564366,972.66,29.358333333333334,27.108333333333334,29.141666666666666,308.0,69.0,25.0,0.22402597402597402,0.08116883116883117
Louth,2018,2,2018Q2,12.36009445,1.06870229,1149.564366,972.66,29.28333333333333,29.025000000000002,30.066666666666666,311.0,71.0,27.0,0.2282958199356913,0.08681672025723473
Louth,2018,3,2018Q3,10.46836632,1.06870229,1149.564366,972.66,29.058333333333334,28.40833333333333,29.708333333333332,308.0,68.0,25.0,0.22077922077922077,0.08116883116883117
Louth,2018,4,2018Q4,9.741785332,1.06870229,1149.564366,972.66,27.983333333333334,27.691666666666666,28.808333333333334,299.0,64.0,24.0,0.2140468227424749,0.0802675585284281
Louth,2019,1,2019Q1,7.301066448,1.812688822,1149.564366,1031.34,26.150000000000002,26.8,27.441666666666666,296.0,65.0,23.0,0.2195945945945946,0.0777027027027027
Louth,2019,2,2019Q2,7.084239616,1.812688822,1149.564366,1031.34,26.208333333333332,27.041666666666668,27.599999999999998,302.0,63.0,23.0,0.20860927152317882,0.076158940397351
Louth,2019,3,2019Q3,5.614513122,1.812688822,1149.564366,1031.34,26.808333333333334,27.325,28.041666666666668,306.0,54.0,23.0,0.17647058823529413,0.07516339869281045
Louth,2019,4,2019Q4,5.094830792,1.812688822,1149.564366,1031.34,25.741666666666664,26.525000000000002,27.150000000000002,308.0,58.0,23.0,0.18831168831168832,0.07467532467532467
Louth,2020,1,2020Q1,5.57508241,2.002967359,1149.564366,1075.92,26.28333333333333,25.658333333333335,26.933333333333334,301.0,50.0,21.0,0.16611295681063123,0.06976744186046512
Louth,2020,2,2020Q2,4.723729529,2.002967359,1149.564366,1075.92,25.900000000000002,25.90833333333333,26.891666666666666,300.0,49.0,21.0,0.16333333333333333,0.07
