"Statistic Label","Year","Age Group","Sex","County","UNIT","VALUE"
"Estimated Population (Persons in April)","2017","15 - 19 years","Both sexes","Co. Meath","Thousand","14"
"Estimated Population (Persons in April)","2017","15 - 19 years","Both sexes","Co. Monaghan","Thousand","4.2"
"Estimated Population (Persons in April)","2017","15 - 19 years","Both sexes","Co. Mayo","Thousand","8.8"
"Estimated Population (Persons in April)","2017","15 - 19 years","Both sexes","Co. Offaly","Thousand","5.7"
"Estimated Population (Persons in April)","2017","15 - 19 years","Both sexes","Co. Roscommon","Thousand","4.4"
"Estimated Population (Persons in April)","2017","15 - 19 years","Both sexes","Co. Sligo","Thousand","4.3"
"Estimated Population (Persons in April)","2017","15 - 19 years","Both sexes","Co. Tipperary","Thousand","11.1"
"Estimated Population (Persons in April)","2017","15 - 19 years","Both sexes","Co. Waterford","Thousand","7.8"
"Estimated Population (Persons in April)","2017","15 - 19 years","Both sexes","Co. Wicklow","Thousand","9.5"
"Estimated Population (Persons in April)","2017","15 - 19 years","Both sexes","Co. Westmeath","Thousand","6.2"
"Estimated Population (Persons in April)","2017","15 - 19 years","Both sexes","Co. Wexford","Thousand","10.5"
"Estimated Population (Persons in April)","2017","15 - 19 years","Male","Ireland","Thousand","158.1"
"Estimated Population (Persons in April)","2017","15 - 19 years","Male","Co. Clare","Thousand","4.2"
"Estimated Population (Persons in April)","2017","15 - 19 years","Male","Co. Cork","Thousand","17.6"
"Estimated Population (Persons in April)","2017","15 - 19 years","Male","Co. Cavan","Thousand","2.7"
"Estimated Population (Persons in April)","2017","15 - 19 years","Male","Co. Carlow","Thousand","2"
"Estimated Population (Persons in April)","2017","15 - 19 years","Male","Co. Donegal","Thousand","5.9"
"Estimated Population (Persons in April)","2017","15 - 19 years","Male","Co. Dublin","Thousand","39.8"
"Estimated Population (Persons in April)","2017","15 - 19 years","Male","Co. Galway","Thousand","8.4"
"Estimated Population (Persons in April)","2017","15 - 19 years","Male","Co. Kildare","Thousand","8.3"
"Estimated Population (Persons in April)","2017","15 - 19 years","Male","Co. Kilkenny","Thousand","3.4"
"Estimated Population (Persons in April)","2017","15 - 19 years","Male","Co. Kerry","Thousand","4.9"
"Estimated Population (Persons in April)","2017","15 - 19 years","Male","Co. Longford","Thousand","1.5"
"Estimated Population (Persons in April)","2017","15 - 19 years","Male","Co. Louth","Thousand","4.6"
"Estimated Population (Persons in April)","2017","15 - 19 years","Male","Co. Limerick","Thousand","6.5"
"Estimated Population (Persons in April)","2017","15 - 19 years","Male","Co. Leitrim","Thousand","1.1"
"Estimated Population (Persons in April)","2017","15 - 19 years","Male","Co. Laois","Thousand","3"
"Estimated Population (Persons in April)","2017","15 - 19 years","Male","Co. Meath","Thousand","7.3"
"Estimated Population (Persons in April)","2017","15 - 19 years","Male","Co. Monaghan","Thousand","2.2"
