"Statistic Label","Month","Type of Residential Property","UNIT","VALUE"
"Residential Property Price Index","2017 July","Dublin City - houses","Base 2015=100","115.6"
"Residential Property Price Index","2017 July","Dun Laoghaire-Rathdown - houses","Base 2015=100","115.2"
"Residential Property Price Index","2017 July","Fingal - houses","Base 2015=100","111"
"Residential Property Price Index","2017 July","South Dublin - houses","Base 2015=100","113.4"
"Residential Property Price Index","2017 July","National excluding Dublin - all residential properties","Base 2015=100","124.3"
"Residential Property Price Index","2017 July","National excluding Dublin - houses","Base 2015=100","123.9"
"Residential Property Price Index","2017 July","National excluding Dublin - apartments","Base 2015=100","129.6"
"Residential Property Price Index","2017 July","Border - houses","Base 2015=100","119.5"
"Residential Property Price Index","2017 July","Midland - houses","Base 2015=100","131.2"
"Residential Property Price Index","2017 July","West - houses","Base 2015=100","129.7"
"Residential Property Price Index","2017 July","Mid-East - houses","Base 2015=100","117.8"
"Residential Property Price Index","2017 July","Mid-West - houses","Base 2015=100","119.2"
"Residential Property Price Index","2017 July","South-East - houses","Base 2015=100","122.3"
"Residential Property Price Index","2017 July","South-West - houses","Base 2015=100","126"
"Residential Property Price Index","2017 August","National - all residential properties","Base 2015=100","122.2"
"Residential Property Price Index","2017 August","National - houses","Base 2015=100","121.9"
"Residential Property Price Index","2017 August","National - apartments","Base 2015=100","121.3"
"Residential Property Price Index","2017 August","Dublin - all residential properties","Base 2015=100","118.4"
"Residential Property Price Index","2017 August","Dublin - houses","Base 2015=100","117.8"
"Residential Property Price Index","2017 August","Dublin - apartments","Base 2015=100","119.7"
"Residential Property Price Index","2017 August","Dublin City - houses","Base 2015=100","117.5"
"Residential Property Price Index","2017 August","Dun Laoghaire-Rathdown - houses","Base 2015=100","116.6"
"Residential Property Price Index","2017 August","Fingal - houses","Base 2015=100","112.3"
"Residential Property Price Index","2017 August","South Dublin - houses","Base 2015=100","115"
"Residential Property Price Index","2017 August","National excluding Dublin - all residential properties","Base 2015=100","126.2"
"Residential Property Price Index","2017 August","National excluding Dublin - houses","Base 2015=100","125.6"
"Residential Property Price Index","2017 August","National excluding Dublin - apartments","Base 2015=100","132.8"
"Residential Property Price Index","2017 August","Border - houses","Base 2015=100","121.5"
"Residential Property Price Index","2017 August","Midland - houses","Base 2015=100","132.8"
"Residential Property Price Index","2017 August","West - houses","Base 2015=100","132"
"Residential Property Price Index","2017 August","Mid-East - houses","Base 2015=100","118.9"
"Residential Property Price Index","2017 August","Mid-West - houses","Base 2015=100","121.9"
"Residential Property Price Index","2017 August","South-East - houses","Base 2015=100","123.5"
"Residential Property Price Index","2017 August","South-West - houses","Base 2015=100","127.3"
"Residential Property Price Index","2017 September","National - all residential properties","Base 2015=100","123.9"
"Residential Property Price Index","2017 September","National - houses","Base 2015=100","123.6"
"Residential Property Price Index","2017 September","National - apartments","Base 2015=100","122.8"
"Residential Property Price Index","2017 September","Dublin - all residential properties","Base 2015=100","119.7"
"Residential Property Price Index","2017 September","Dublin - houses","Base 2015=100","119"
"Residential Property Price Index","2017 September","Dublin - apartments","Base 2015=100","121.8"
"Residential Property Price Index","2017 September","Dublin City - houses","Base 2015=100","119.3"
"Residential Property Price Index","2017 September","Dun Laoghaire-Rathdown - houses","Base 2015=100","118.1"
"Residential Property Price Index","2017 September","Fingal - houses","Base 2015=100","113.1"
"Residential Property Price Index","2017 September","South Dublin - houses","Base 2015=100","116.6"
"Residential Property Price Index","2017 September","National excluding Dublin - all residential properties","Base 2015=100","128.1"
"Residential Property Price Index","2017 September","National excluding Dublin - houses","Base 2015=100","127.9"
"Residential Property Price Index","2017 September","National excluding Dublin - apartments","Base 2015=100","131.7"
"Residential Property Price Index","2017 September","Border - houses","Base 2015=100","123.4"
"Residential Property Price Index","2017 September","Midland - houses","Base 2015=100","134.2"
"Residential Property Price Index","2017 September","West - houses","Base 2015=100","134.1"
"Residential Property Price Index","2017 September","Mid-East - houses","Base 2015=100","121.4"
"Residential Property Price Index","2017 September","Mid-West - houses","Base 2015=100","123.8"
"Residential Property Price Index","2017 September","South-East - houses","Base 2015=100","125.4"
"Residential Property Price Index","2017 September","South-West - houses","Base 2015=100","128.9"
"Residential Property Price Index","2017 October","National - all residential properties","Base 2015=100","124.3"
"Residential Property Price Index","2017 October","National - houses","Base 2015=100","124"
"Residential Property Price Index","2017 October","National - apartments","Base 2015=100","124.4"
"Residential Property Price Index","2017 October","Dublin - all residential properties","Base 2015=100","120.3"
"Residential Property Price Index","2017 October","Dublin - houses","Base 2015=100","119.6"
"Residential Property Price Index","2017 October","Dublin - apartments","Base 2015=100","123"
"Residential Property Price Index","2017 October","Dublin City - houses","Base 2015=100","120.6"
"Residential Property Price Index","2017 October","Dun Laoghaire-Rathdown - houses","Base 2015=100","119.9"
"Residential Property Price Index","2017 October","Fingal - houses","Base 2015=100","113.8"
"Residential Property Price Index","2017 October","South Dublin - houses","Base 2015=100","117"
"Residential Property Price Index","2017 October","National excluding Dublin - all residential properties","Base 2015=100","128.4"
"Residential Property Price Index","2017 October","National excluding Dublin - houses","Base 2015=100","128"
"Residential Property Price Index","2017 October","National excluding Dublin - apartments","Base 2015=100","134.1"
"Residential Property Price Index","2017 October","Border - houses","Base 2015=100","123.1"
"Residential Property Price Index","2017 October","Midland - houses","Base 2015=100","132.8"
"Residential Property Price Index","2017 October","West - houses","Base 2015=100","135.8"
"Residential Property Price Index","2017 October","Mid-East - houses","Base 2015=100","123.2"
"Residential Property Price Index","2017 October","Mid-West - houses","Base 2015=100","123.8"
"Residential Property Price Index","2017 October","South-East - houses","Base 2015=100","127.8"
"Residential Property Price Index","2017 October","South-West - houses","Base 2015=100","129.1"
"Residential Property Price Index","2017 November","National - all residential properties","Base 2015=100","125.3"
"Residential Property Price Index","2017 November","National - houses","Base 2015=100","125"
"Residential Property Price Index","2017 November","National - apartments","Base 2015=100","125.7"
"Residential Property Price Index","2017 November","Dublin - all residential properties","Base 2015=100","120.6"
"Residential Property Price Index","2017 November","Dublin - houses","Base 2015=100","119.9"
"Residential Property Price Index","2017 November","Dublin - apartments","Base 2015=100","123.8"
"Residential Property Price Index","2017 November","Dublin City - houses","Base 2015=100","121.5"
"Residential Property Price Index","2017 November","Dun Laoghaire-Rathdown - houses","Base 2015=100","120.6"
"Residential Property Price Index","2017 November","Fingal - houses","Base 2015=100","115.5"
"Residential Property Price Index","2017 November","South Dublin - houses","Base 2015=100","117.3"
"Residential Property Price Index","2017 November","National excluding Dublin - all residential properties","Base 2015=100","130.1"
"Residential Property Price Index","2017 November","National excluding Dublin - houses","Base 2015=100","129.8"
